name,link,severity,package,version,fixedBy
CVE-2025-62171,https://avd.aquasec.com/nvd/cve-2025-62171,HIGH,imagemagick,8:7.1.1.43+dfsg1-1+deb13u2,8:7.1.1.43+dfsg1-1+deb13u3
CVE-2025-62171,https://avd.aquasec.com/nvd/cve-2025-62171,HIGH,imagemagick-7-common,8:7.1.1.43+dfsg1-1+deb13u2,8:7.1.1.43+dfsg1-1+deb13u3
CVE-2025-62171,https://avd.aquasec.com/nvd/cve-2025-62171,HIGH,imagemagick-7.q16,8:7.1.1.43+dfsg1-1+deb13u2,8:7.1.1.43+dfsg1-1+deb13u3
CVE-2023-44431,https://avd.aquasec.com/nvd/cve-2023-44431,HIGH,libbluetooth-dev,5.82-1.1,
CVE-2023-51596,https://avd.aquasec.com/nvd/cve-2023-51596,HIGH,libbluetooth-dev,5.82-1.1,
CVE-2023-44431,https://avd.aquasec.com/nvd/cve-2023-44431,HIGH,libbluetooth3,5.82-1.1,
CVE-2023-51596,https://avd.aquasec.com/nvd/cve-2023-51596,HIGH,libbluetooth3,5.82-1.1,
CVE-2025-62171,https://avd.aquasec.com/nvd/cve-2025-62171,HIGH,libmagickcore-7-arch-config,8:7.1.1.43+dfsg1-1+deb13u2,8:7.1.1.43+dfsg1-1+deb13u3
CVE-2025-62171,https://avd.aquasec.com/nvd/cve-2025-62171,HIGH,libmagickcore-7-headers,8:7.1.1.43+dfsg1-1+deb13u2,8:7.1.1.43+dfsg1-1+deb13u3
CVE-2025-62171,https://avd.aquasec.com/nvd/cve-2025-62171,HIGH,libmagickcore-7.q16-10,8:7.1.1.43+dfsg1-1+deb13u2,8:7.1.1.43+dfsg1-1+deb13u3
CVE-2025-62171,https://avd.aquasec.com/nvd/cve-2025-62171,HIGH,libmagickcore-7.q16-10-extra,8:7.1.1.43+dfsg1-1+deb13u2,8:7.1.1.43+dfsg1-1+deb13u3
CVE-2025-62171,https://avd.aquasec.com/nvd/cve-2025-62171,HIGH,libmagickcore-7.q16-dev,8:7.1.1.43+dfsg1-1+deb13u2,8:7.1.1.43+dfsg1-1+deb13u3
CVE-2025-62171,https://avd.aquasec.com/nvd/cve-2025-62171,HIGH,libmagickcore-dev,8:7.1.1.43+dfsg1-1+deb13u2,8:7.1.1.43+dfsg1-1+deb13u3
CVE-2025-62171,https://avd.aquasec.com/nvd/cve-2025-62171,HIGH,libmagickwand-7-headers,8:7.1.1.43+dfsg1-1+deb13u2,8:7.1.1.43+dfsg1-1+deb13u3
CVE-2025-62171,https://avd.aquasec.com/nvd/cve-2025-62171,HIGH,libmagickwand-7.q16-10,8:7.1.1.43+dfsg1-1+deb13u2,8:7.1.1.43+dfsg1-1+deb13u3
CVE-2025-62171,https://avd.aquasec.com/nvd/cve-2025-62171,HIGH,libmagickwand-7.q16-dev,8:7.1.1.43+dfsg1-1+deb13u2,8:7.1.1.43+dfsg1-1+deb13u3
CVE-2025-62171,https://avd.aquasec.com/nvd/cve-2025-62171,HIGH,libmagickwand-dev,8:7.1.1.43+dfsg1-1+deb13u2,8:7.1.1.43+dfsg1-1+deb13u3
CVE-2025-12818,https://avd.aquasec.com/nvd/cve-2025-12818,HIGH,libpq-dev,17.6-0+deb13u1,
CVE-2025-12818,https://avd.aquasec.com/nvd/cve-2025-12818,HIGH,libpq5,17.6-0+deb13u1,
CVE-2025-8194,https://avd.aquasec.com/nvd/cve-2025-8194,HIGH,libpython3.13-minimal,3.13.5-2,
CVE-2025-8194,https://avd.aquasec.com/nvd/cve-2025-8194,HIGH,libpython3.13-stdlib,3.13.5-2,
CVE-2025-7425,https://avd.aquasec.com/nvd/cve-2025-7425,HIGH,libxslt1-dev,1.1.35-1.2+deb13u2,
CVE-2025-7425,https://avd.aquasec.com/nvd/cve-2025-7425,HIGH,libxslt1.1,1.1.35-1.2+deb13u2,
